year,co2
1958,3152.32
1959,3791.77
1960,3802.92
1961,3811.73
1962,3821.45
1963,3827.91
1964,3835.4
1965,3840.43
1966,3856.43
1967,3866.17
1968,3876.6
1969,3895.48
1970,3908.18
1971,3915.83
1972,3929.48
1973,3956.13
1974,3962.2999999999997
1975,3973.39
1976,3984.32
1977,4006.12
1978,4024.98
1979,4042.03
1980,4065.15
1981,4081.4300000000003
1982,4097.75
1983,4117.83
1984,4138.18
1985,4156.2300000000005
1986,4171.3
1987,4191.75
1988,4220.29
1989,4238.46
1990,4253.44
1991,4268.45
1992,4278.53
1993,4286.59
1994,4307.51
1995,4331.62
1996,4352.92
1997,4366.5199999999995
1998,4402.08
1999,4422.48
2000,4436.49
2001,4455.83
2002,4481.43
2003,4511.8
2004,4532.38
2005,4559.8
2006,4585.09
2007,4608.3
2008,4629.97
2009,4651.72
2010,4681.22
2011,4702.21
2012,4728.67
2013,4760.85
2014,4786.45
2015,4812.15
2016,4852.95
2017,4881.1
2018,4904.58
2019,4939.85
2020,4970.86
2021,4997.41
2022,1256.28
