,year,country,trade_co2,gas_co2,oil_co2,coal_co2,flaring_co2,cement_co2,other_industry_co2,consumption_co2
178,1990,Africa,-203.224,75.954,243.984,295.76,20.795,22.801,,456.07
188,2000,Africa,-266.512,114.35,315.173,370.247,55.282,31.51,,620.049
198,2010,Africa,-356.829,201.912,450.94,441.757,64.329,59.085,,861.195
207,2019,Africa,-373.726,291.682,529.216,464.561,44.459,78.56,,1034.752
1213,1990,Asia,-62.194,648.17,2312.63,3256.342,79.745,242.821,86.129,6563.644
1223,2000,Asia,-628.065,1073.287,3310.205,4070.052,66.735,460.032,110.744,8462.99
1233,2010,Asia,-1490.688,2019.057,4042.998,9248.971,111.022,968.791,140.11,15040.263
1242,2019,Asia,-1483.403,2932.325,4766.724,11265.459,141.588,1296.428,206.069,19125.189
7271,1990,Europe,-275.842,1745.321,2959.767,2990.532,63.074,153.879,103.016,7739.747
7281,2000,Europe,129.701,1787.58,2159.665,1963.231,51.124,122.121,65.312,6278.734
7291,2010,Europe,560.707,2011.272,2030.394,1813.962,67.447,113.798,61.663,6659.242
7300,2019,Europe,415.947,1868.087,1972.372,1342.922,76.015,110.112,60.73,5846.186
16990,1990,North America,-93.03,1222.807,2664.334,1957.887,57.801,54.372,27.311,5891.482
17000,2000,North America,240.421,1532.731,3077.043,2337.879,61.666,68.712,29.661,7348.113
17010,2010,North America,358.944,1658.672,2890.856,2164.487,67.735,61.435,32.582,7234.711
17019,2019,North America,354.353,2116.172,2927.459,1214.329,100.457,76.925,25.385,6815.079
17831,1990,Oceania,-37.802,41.963,106.715,147.652,7.764,3.985,2.726,273.005
17841,2000,Oceania,-67.151,56.599,125.874,192.046,8.596,4.253,4.242,324.458
17851,2010,Oceania,-30.799,72.975,152.578,206.919,9.684,4.224,4.808,420.39
17860,2019,Oceania,-55.643,90.993,175.105,175.84,21.123,3.523,4.605,415.546
21444,1990,South America,6.559,107.281,372.908,66.519,23.899,21.318,3.688,602.173
21454,2000,South America,-45.789,170.296,509.775,79.037,26.247,31.027,5.008,775.6
21464,2010,South America,32.648,241.913,652.605,94.736,46.871,40.34,5.95,1115.063
21473,2019,South America,74.228,254.134,600.998,110.108,50.954,42.923,6.392,1139.737
