,Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
4,Aruba,ABW,Population growth (annual %),SP.POP.GROW,,2.236462489,1.432843226,0.8235017716,0.580333649,0.5734983285,0.599694129,0.590950867,0.5720633015,0.6096798863,0.5704405812,0.62778659,0.6823676208,0.6445456798,0.481936625,0.207955183,-0.1105255022,-0.3637810745,-0.438291368,-0.2165332225,0.2082136857,0.7691198052,1.279733959,1.411551999,0.9805019411,0.3146605695,-0.6031736531,-1.296580747,-1.246456623,-0.06387945019,1.816829615,3.898738693,5.446051861,6.048669078,5.644930133,4.61015602,3.531109513,2.655185894,2.118993196,1.961614669,2.06484056,2.20516342,2.235514952,2.108323583,1.765472909,1.291950435,0.798578361,0.3919710447,0.1342626616,0.08875127546,0.209731414,0.3779794894,0.5033854678,0.5832904303,0.5905081888,0.5410483371,0.5028595136,0.4718740026,0.4592658884,0.4374146758,0.4280169481
12,Aruba,ABW,CPIA public sector management and institutions cluster average (1=low to 6=high),IQ.CPA.PUBS.XQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Aruba,ABW,Population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.070367726,,,,,,,,,,7.070367418,,,,,,,,,,7.069166545,,,,,,,,,,
23,Aruba,ABW,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Aruba,ABW,Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE,,,,,,,,,,,1.8261976,1.8269478,1.8448131,1.8220901,1.821157,1.8296076,2.6258457,2.7775194,5.303201,6.067785,6.170271,7.047013,7.624574,7.290487,7.828492,8.650364,6.47466,8.943996,11.000443,11.871481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Aruba,ABW,Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE,,,,,,,,,,,10.2469,10.4531,10.657,10.8551,11.0415,11.2194,11.5069,11.6718,12.2338,12.4857,12.6755,12.937,13.182,13.3622,13.6488,13.9676,13.8472,14.3017,14.5499,14.8981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Aruba,ABW,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,,,,,,,,,,,42.3062976,42.7869478,43.2866131,43.7245901,44.130957,44.4819076,131.6337457,135.0553194,358.990001,409.505485,424.783771,519.001013,564.023574,530.385687,571.038292,642.147964,435.85886,616.928696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Aruba,ABW,"Other greenhouse gas emissions, HFC, PFC and SF6 (thousand metric tons of CO2 equivalent)",EN.ATM.GHGO.KT.CE,,,,,,,,,,,19.66790076,19.95736392,20.00577011,19.7166851,18.92618507,15.42933383,30.51326941,36.40090408,95.20858767,121.0305677,114.6751521,191.5890417,204.1455194,239.2286048,246.7267804,219.7726918,127.8786016,143.9411145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Aruba,ABW,CO2 emissions (kt),EN.ATM.CO2E.KT,,,,,,,,,,,,,,,,,,,,,,,,,,,179.683,447.374,612.389,649.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Aruba,ABW,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
