,Category,SSP,area,SSPType
0,2014,9.71,2.998259341254567,SSP1
1,2014,9.71,2.641740658745433,SSP1
4,2015,9.58,3.237832555003699,SSP1
5,2015,9.58,2.4021674449963006,SSP1
10,2016,9.7,3.0166880500045536,SSP1
11,2016,9.7,2.623311949995446,SSP1
18,2017,9.81,2.8139722537551606,SSP1
19,2017,9.81,2.826027746244839,SSP1
28,2018,9.91,2.6296851662561664,SSP1
29,2018,9.91,3.0103148337438332,SSP1
40,2019,10.0,2.463826787506612,SSP1
41,2019,10.0,3.1761732124933877,SSP1
54,2020,10.07,2.3348258262568393,SSP1
55,2020,10.07,3.3051741737431604,SSP1
70,2021,10.12,2.2426822825073813,SSP1
71,2021,10.12,3.3973177174926183,SSP1
88,2022,10.15,2.187396156257556,SSP1
89,2022,10.15,3.452603843742444,SSP1
108,2023,10.16,2.1689674475077467,SSP1
109,2023,10.16,3.471032552492253,SSP1
130,2024,10.17,2.15053873875771,SSP1
131,2024,10.17,3.4894612612422895,SSP1
154,2025,10.18,2.13211003000756,SSP1
155,2025,10.18,3.5078899699924397,SSP1
180,2026,10.19,2.113681321257836,SSP1
181,2026,10.19,3.5263186787421636,SSP1
208,2027,10.22,2.058395195007968,SSP1
209,2027,10.22,3.5816048049920317,SSP1
238,2028,10.25,2.003109068758185,SSP1
239,2028,10.25,3.6368909312418145,SSP1
270,2029,10.29,1.9293942337585932,SSP1
271,2029,10.29,3.7106057662414065,SSP1
304,2030,10.34,1.8372506900087942,SSP1
305,2030,10.34,3.8027493099912055,SSP1
340,2031,10.4,1.7266784375091433,SSP1
341,2031,10.4,3.9133215624908564,SSP1
378,2032,10.46,1.6161061850097056,SSP1
379,2032,10.46,4.023893814990294,SSP1
418,2033,10.52,1.5055339325098842,SSP1
419,2033,10.52,4.1344660674901155,SSP1
460,2034,10.58,1.3949616800103897,SSP1
461,2034,10.58,4.24503831998961,SSP1
504,2035,10.62,1.3212468450104993,SSP1
505,2035,10.62,4.3187531549895,SSP1
550,2036,10.64,1.2843894275106251,SSP1
551,2036,10.64,4.3556105724893746,SSP1
598,2037,10.63,1.3028181362606617,SSP1
599,2037,10.63,4.337181863739338,SSP1
648,2038,10.6,1.3581042625105724,SSP1
649,2038,10.6,4.281895737489427,SSP1
700,2039,10.56,1.4318190975104912,SSP1
701,2039,10.56,4.2081809024895085,SSP1
754,2040,10.52,1.5055339325098842,SSP1
755,2040,10.52,4.1344660674901155,SSP1
810,2041,10.49,1.5608200587598375,SSP1
811,2041,10.49,4.079179941240162,SSP1
868,2042,10.48,1.5792487675096893,SSP1
869,2042,10.48,4.06075123249031,SSP1
928,2043,10.51,1.5239626412599208,SSP1
929,2043,10.51,4.116037358740079,SSP1
990,2044,10.55,1.4502478062602862,SSP1
991,2044,10.55,4.1897521937397135,SSP1
