year,sea_level
1993,-34.50405405405406
1994,-30.604054054054053
1995,-28.038108108108112
1996,-25.76111111111111
1997,-21.605945945945944
1998,-23.74108108108108
1999,-20.236486486486488
2000,-16.607027027027026
2001,-11.156486486486488
2002,-7.065833333333334
2003,-3.766756756756757
2004,-1.6275675675675676
2005,3.014054054054054
2006,4.375
2007,5.024054054054053
2008,7.331944444444444
2009,12.434864864864865
2010,13.661621621621622
2011,12.944594594594594
2012,24.01162162162162
2013,26.309189189189187
2014,30.09111111111111
2015,40.910540540540545
2016,43.196486486486485
2017,44.29756756756757
2018,48.46594594594595
2019,55.612162162162164
2020,56.41333333333333
2021,60.8718918918919
2022,63.605000000000004
