year,non_smoothed,temp
1880,-0.16,8.5
1881,-0.08,8.47
1882,-0.1,8.43
1883,-0.17,8.39
1884,-0.28,8.36
1885,-0.33,8.33
1886,-0.31,8.32
1887,-0.36,8.32
1888,-0.17,8.33
1889,-0.1,8.34
1890,-0.35,8.34
1891,-0.22,8.33
1892,-0.27,8.32
1893,-0.31,8.33
1894,-0.32,8.35
1895,-0.23,8.37
1896,-0.11,8.379999999999999
1897,-0.11,8.4
1898,-0.27,8.42
1899,-0.18,8.41
1900,-0.09,8.39
1901,-0.16,8.35
1902,-0.28,8.33
1903,-0.37,8.31
1904,-0.47,8.28
1905,-0.26,8.25
1906,-0.22,8.23
1907,-0.39,8.22
1908,-0.43,8.2
1909,-0.48,8.18
1910,-0.43,8.18
1911,-0.44,8.2
1912,-0.36,8.24
1913,-0.34,8.27
1914,-0.15,8.28
1915,-0.14,8.29
1916,-0.36,8.29
1917,-0.46,8.29
1918,-0.3,8.29
1919,-0.28,8.29
1920,-0.27,8.31
1921,-0.19,8.32
1922,-0.29,8.33
1923,-0.27,8.35
1924,-0.27,8.36
1925,-0.22,8.37
1926,-0.11,8.37
1927,-0.22,8.379999999999999
1928,-0.2,8.39
1929,-0.36,8.4
1930,-0.16,8.4
1931,-0.09,8.4
1932,-0.16,8.41
1933,-0.29,8.42
1934,-0.12,8.43
1935,-0.2,8.45
1936,-0.15,8.48
1937,-0.03,8.53
1938,0.0,8.58
1939,-0.02,8.62
1940,0.13,8.65
1941,0.19,8.68
1942,0.07,8.7
1943,0.09,8.69
1944,0.2,8.66
1945,0.09,8.629999999999999
1946,-0.07,8.59
1947,-0.03,8.55
1948,-0.11,8.52
1949,-0.11,8.51
1950,-0.17,8.51
1951,-0.07,8.52
1952,0.01,8.52
1953,0.08,8.52
1954,-0.13,8.53
1955,-0.14,8.53
1956,-0.19,8.54
1957,0.05,8.55
1958,0.06,8.58
1959,0.03,8.6
1960,-0.03,8.62
1961,0.06,8.6
1962,0.03,8.58
1963,0.05,8.56
1964,-0.2,8.55
1965,-0.11,8.54
1966,-0.06,8.53
1967,-0.02,8.54
1968,-0.08,8.56
1969,0.05,8.57
1970,0.03,8.59
1971,-0.08,8.59
1972,0.01,8.59
1973,0.16,8.59
1974,-0.07,8.6
1975,-0.01,8.61
1976,-0.1,8.629999999999999
1977,0.18,8.66
1978,0.07,8.709999999999999
1979,0.16,8.75
1980,0.26,8.79
1981,0.32,8.8
1982,0.14,8.81
1983,0.31,8.8
1984,0.16,8.8
1985,0.12,8.81
1986,0.18,8.83
1987,0.32,8.86
1988,0.39,8.9
1989,0.27,8.92
1990,0.45,8.92
1991,0.41,8.92
1992,0.22,8.92
1993,0.23,8.92
1994,0.32,8.93
1995,0.45,8.959999999999999
1996,0.33,8.99
1997,0.46,9.01
1998,0.61,9.03
1999,0.38,9.06
2000,0.39,9.09
2001,0.54,9.11
2002,0.63,9.14
2003,0.62,9.17
2004,0.53,9.2
2005,0.68,9.209999999999999
2006,0.64,9.209999999999999
2007,0.66,9.22
2008,0.54,9.23
2009,0.65,9.23
2010,0.72,9.24
2011,0.61,9.25
2012,0.65,9.29
2013,0.68,9.33
2014,0.75,9.379999999999999
2015,0.9,9.42
2016,1.02,9.47
2017,0.92,9.5
2018,0.85,9.51
2019,0.98,9.52
2020,1.02,9.53
2021,0.85,9.53
